File Name,Row_0%,Row_1%,Row_2%,Col_0%,Col_1%,Col_2%
claude-3-opus-20240229_choices.csv,100.0,0.0,0.0,53.33,46.67,0.0
deepseek-ai_DeepSeek-V2.5_choices.csv,66.67,33.33,0.0,73.33,20.0,6.67
gemini-2.0-flash-thinking-exp-01-21_choices.csv,53.33,33.33,13.33,46.67,53.33,0.0
google_gemma-2-27b-it_choices.csv,26.67,73.33,0.0,53.33,46.67,0.0
gpt-4o_choices.csv,13.33,73.33,13.33,6.67,86.67,6.67
internlm_internlm2_5-20b-chat_choices.csv,6.67,93.33,0.0,20.0,80.0,0.0
meta-llama_Meta-Llama-3.1-405B-Instruct_choices.csv,33.33,53.33,13.33,60.0,26.67,13.33
meta-llama_Meta-Llama-3.1-8B-Instruct_choices.csv,40.0,53.33,6.67,60.0,40.0,0.0
Pro_deepseek-ai_DeepSeek-V3_choices.csv,53.33,26.67,20.0,86.67,13.33,0.0
Qwen_QwQ-32B-Preview_choices.csv,100.0,0.0,0.0,93.33,0.0,6.67
THUDM_glm-4-9b-chat_choices.csv,20.0,80.0,0.0,40.0,53.33,6.67
